source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
command-a-03-2025,llm,fnqcj,FNQCJ,-0.034489728833400735,-0.3662653534280574,cohere,command-a-03-2025
command-a-03-2025,llm,forestera,Forest Lay Citizen,0.4063063962656144,0.02862575542802685,cohere,command-a-03-2025
command-a-03-2025,llm,forestera,Forest Stakeholder,0.5693285974643136,-0.01403799657913278,cohere,command-a-03-2025
command-a-03-2025,llm,fremantle,Fremantle,-0.11876525965429119,0.05328731800354007,cohere,command-a-03-2025
command-a-03-2025,llm,swiss_health,CA,0.3718467309287268,0.030801905488688802,cohere,command-a-03-2025
command-a-03-2025,llm,uppsala_speaks,Activate,0.47873130465728786,0.4211355836639844,cohere,command-a-03-2025
command-a-03-2025,llm,uppsala_speaks,Standard,0.2541121570605376,0.32750849940910415,cohere,command-a-03-2025
command-a-03-2025,llm,valsamoggia,Valsamoggia,0.3362328224109177,0.05726012551667468,cohere,command-a-03-2025
command-a-03-2025,llm,zh_uster,USTER,0.4946416428830267,0.19982550353583858,cohere,command-a-03-2025
command-a-03-2025,llm,zh_winterthur,Winterthur,-0.738709973539424,-0.45987066262269805,cohere,command-a-03-2025
command-a-03-2025,llm,zukunft,Zukunft,0.5654771528847544,0.18734159615652385,cohere,command-a-03-2025
command-r-08-2024,llm,acp,Citizen Parliamentarian,0.20847878984040058,-0.13725508787860602,cohere,command-r-08-2024
command-r-08-2024,llm,auscj,HGE Deliberative Group,-0.478960180784737,-0.15641643243792971,cohere,command-r-08-2024
command-r-08-2024,llm,bep,BEP,0.393190275622205,0.09596178849092897,cohere,command-r-08-2024
command-r-08-2024,llm,biobanking_mayo_ubc,Mayo,0.13031634752897636,0.01697516018082384,cohere,command-r-08-2024
command-r-08-2024,llm,biobanking_mayo_ubc,UBC Bio,0.13392002957069615,0.039904531667010704,cohere,command-r-08-2024
command-r-08-2024,llm,biobanking_wa,WA Citizens,0.5139910391582827,0.1380149312513593,cohere,command-r-08-2024
command-r-08-2024,llm,biobanking_wa,WA Stakeholder,0.28524233116279696,0.2017280813592609,cohere,command-r-08-2024
command-r-08-2024,llm,ccps,CCPS ACT Deliberative,0.4288797311528523,-0.11526814794631965,cohere,command-r-08-2024
command-r-08-2024,llm,ds_aargau,Aargau,0.25587690163423127,-0.13891512183967217,cohere,command-r-08-2024
command-r-08-2024,llm,ds_bellinzona,Bellinzona,0.4499378490772272,-0.19616079576693737,cohere,command-r-08-2024
command-r-08-2024,llm,energy_futures,CSIRO NSW,0.23702606736978016,0.17328675419457745,cohere,command-r-08-2024
command-r-08-2024,llm,energy_futures,CSIRO WA,0.16205586239902603,0.15669013493789982,cohere,command-r-08-2024
command-r-08-2024,llm,fnqcj,FNQCJ,-0.1315584512940653,0.05145286875082907,cohere,command-r-08-2024
command-r-08-2024,llm,forestera,Forest Lay Citizen,0.2729967912994311,0.1868225055314686,cohere,command-r-08-2024
command-r-08-2024,llm,forestera,Forest Stakeholder,0.6672704908310638,0.2785726338440615,cohere,command-r-08-2024
command-r-08-2024,llm,fremantle,Fremantle,0.2931094228744531,0.09749701826962442,cohere,command-r-08-2024
command-r-08-2024,llm,swiss_health,CA,0.33862989251464626,0.10360945160098411,cohere,command-r-08-2024
command-r-08-2024,llm,uppsala_speaks,Activate,0.28632108869012196,0.17855396135229293,cohere,command-r-08-2024
command-r-08-2024,llm,uppsala_speaks,Standard,0.40657308957375915,0.10455782009626599,cohere,command-r-08-2024
command-r-08-2024,llm,valsamoggia,Valsamoggia,0.11799031222621315,-0.1951019477803124,cohere,command-r-08-2024
command-r-08-2024,llm,zh_uster,USTER,0.571773577126889,0.018539646255477195,cohere,command-r-08-2024
command-r-08-2024,llm,zh_winterthur,Winterthur,0.30714369564335375,-0.007530459030654006,cohere,command-r-08-2024
command-r-08-2024,llm,zukunft,Zukunft,0.5689276802184893,-0.10775021111840603,cohere,command-r-08-2024
command-r7b-12-2024,llm,acp,Citizen Parliamentarian,0.08106431681601545,-0.08680350491635085,cohere,command-r7b-12-2024
command-r7b-12-2024,llm,auscj,HGE Deliberative Group,-0.1557470193540793,0.07222865899452931,cohere,command-r7b-12-2024
